                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.00052,                      1,                      1,                0.55127,             0.00023334,             0.00023334,             0.00023334
                     70,                0.15812,                      1,                      1,                0.55127,             0.00022627,             0.00022627,             0.00022627
                     71,                0.06932,                      1,                      1,                0.55127,              0.0002192,              0.0002192,              0.0002192
                     72,                0.04841,                      1,                      1,                0.55127,             0.00021213,             0.00021213,             0.00021213
                     73,                0.00032,                      1,                      1,                0.55127,             0.00020506,             0.00020506,             0.00020506
                     74,                0.00196,                      1,                      1,                0.55127,             0.00019799,             0.00019799,             0.00019799
                     75,                  0.011,                      1,                      1,                0.55127,             0.00019092,             0.00019092,             0.00019092
                     76,                0.00066,                      1,                      1,                0.55127,             0.00018385,             0.00018385,             0.00018385
                     77,                 0.0051,                      1,                      1,                0.55127,             0.00017679,             0.00017679,             0.00017679
                     78,                0.03149,                      1,                      1,                0.55127,             0.00016972,             0.00016972,             0.00016972
                     79,                0.03023,                      1,                      1,                0.55127,             0.00016265,             0.00016265,             0.00016265
                     80,                0.00455,                      1,                      1,                0.55127,             0.00015558,             0.00015558,             0.00015558
                     81,                0.02566,                      1,                      1,                0.55127,             0.00014851,             0.00014851,             0.00014851
                     82,                0.00738,                      1,                      1,                0.55127,             0.00014144,             0.00014144,             0.00014144
                     83,                0.04994,                      1,                      1,                0.55127,             0.00013437,             0.00013437,             0.00013437
                     84,                0.00267,                      1,                      1,                0.55127,             0.00012731,             0.00012731,             0.00012731
                     85,                0.02268,                      1,                      1,                0.55127,             0.00012024,             0.00012024,             0.00012024
                     86,                0.19132,                      1,                      1,                0.55127,             0.00011317,             0.00011317,             0.00011317
                     87,                0.02752,                      1,                      1,                0.55127,              0.0001061,              0.0001061,              0.0001061
                     88,                0.00022,                      1,                      1,                0.55127,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.00029,                      1,                      1,                0.55127,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.00093,                      1,                      1,                0.55127,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.00695,                      1,                      1,                0.55127,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.04335,                      1,                      1,                0.55127,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.00787,                      1,                      1,                0.55127,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.02353,                      1,                      1,                0.55127,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.02478,                      1,                      1,                0.55127,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 0.0276,                      1,                      1,                0.55127,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.00316,                      1,                      1,                0.55127,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.00011,                      1,                      1,                0.55127,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.00186,                      1,                      1,                0.55127,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.05972,                      1,                      1,                0.55127,             1.4209e-05,             1.4209e-05,             1.4209e-05
