                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.05293,                      1,                      1,                0.58545,             0.00061787,             0.00061787,             0.00061787
                     70,                0.07854,                      1,                      1,                0.57845,             0.00061645,             0.00061645,             0.00061645
                     71,                0.05136,                      1,                      1,                0.57845,             0.00061504,             0.00061504,             0.00061504
                     72,                0.05217,                      1,                      1,                0.57845,             0.00061363,             0.00061363,             0.00061363
                     73,                0.03822,                      1,                      1,                0.57585,             0.00061221,             0.00061221,             0.00061221
                     74,                0.04644,                      1,                      1,                0.57568,              0.0006108,              0.0006108,              0.0006108
                     75,                0.04849,                      1,                      1,                0.56543,             0.00060938,             0.00060938,             0.00060938
                     76,                 0.0481,                      1,                      1,                0.56527,             0.00060797,             0.00060797,             0.00060797
                     77,                0.04004,                      1,                      1,                0.56543,             0.00060656,             0.00060656,             0.00060656
                     78,                0.05096,                      1,                      1,                0.56706,             0.00060514,             0.00060514,             0.00060514
                     79,                0.02321,                      1,                      1,                0.56706,             0.00060373,             0.00060373,             0.00060373
                     80,                0.02042,                      1,                      1,                0.56706,             0.00060232,             0.00060232,             0.00060232
                     81,                0.02943,                      1,                      1,                0.56169,              0.0006009,              0.0006009,              0.0006009
                     82,                0.02314,                      1,                      1,                0.56152,             0.00059949,             0.00059949,             0.00059949
                     83,                0.01666,                      1,                      1,                0.56152,             0.00059807,             0.00059807,             0.00059807
                     84,                0.01778,                      1,                      1,                0.56055,             0.00059666,             0.00059666,             0.00059666
                     85,                0.01856,                      1,                      1,                0.56038,             0.00059525,             0.00059525,             0.00059525
                     86,                0.01602,                      1,                      1,                0.56055,             0.00059383,             0.00059383,             0.00059383
                     87,                0.01296,                      1,                      1,                0.55778,             0.00059242,             0.00059242,             0.00059242
                     88,                 0.0135,                      1,                      1,                0.55762,             0.00059101,             0.00059101,             0.00059101
                     89,                0.00901,                      1,                      1,                0.55924,             0.00058959,             0.00058959,             0.00058959
                     90,                0.01494,                      1,                      1,                0.55924,             0.00058818,             0.00058818,             0.00058818
                     91,                0.01096,                      1,                      1,                0.55908,             0.00058677,             0.00058677,             0.00058677
                     92,                0.00736,                      1,                      1,                0.55762,             0.00058535,             0.00058535,             0.00058535
                     93,                0.01039,                      1,                      1,                0.55778,             0.00058394,             0.00058394,             0.00058394
